bin_low,bin_high,count,pred_mean,obs_rate
0.425,0.475,15,0.4572183010450326,0.3333333333333333
0.475,0.5,15,0.48812194729152203,0.6
0.5,0.524,15,0.5142055813484483,0.5333333333333333
0.524,0.544,15,0.5329801203912516,0.5333333333333333
0.544,0.554,15,0.5500458003056411,0.5333333333333333
0.554,0.567,14,0.5613459873391845,0.5714285714285714
0.567,0.581,15,0.5722651822505715,0.4666666666666667
0.581,0.595,15,0.5888428815261607,0.6666666666666666
0.595,0.607,15,0.5998566243532906,0.5333333333333333
0.607,0.669,15,0.6232424556665848,0.4666666666666667
