scenario_id,scenario_label,abs_error_sum,game_id,team,player,player_id,position,rec_yards,rec_yards_act,targets,targets_act,rush_yards,rush_yards_act,pass_yards,pass_yards_act,pick
v2_baseline,Baseline,242.1,2025_12_TB_LA,Tampa Bay Buccaneers,Baker Mayfield,00-0034855,QB,0.0,0.0,0.0,0.0,26.3,0.0,241.2,41.0,baseline
v2_baseline,Baseline,217.69,2025_12_NYG_DET,Detroit Lions,Jahmyr Gibbs,00-0039139,RB,20.3,45.0,5.53,12.0,42.0,219.0,0.0,0.0,baseline
v2_baseline,Baseline,204.47000000000003,2025_12_BUF_HOU,Buffalo Bills,Joshua Palmer,nan,WR,78.7,13.0,7.23,3.0,0.0,116.0,0.0,0.0,baseline
v2_baseline,Baseline,143.58999999999997,2025_12_PHI_DAL,Philadelphia Eagles,Jalen Hurts,00-0036389,QB,0.0,0.0,0.0,0.0,37.5,14.0,193.3,289.0,baseline
v2_baseline,Baseline,139.85000000000002,2025_12_MIN_GB,Green Bay Packers,Jordan Love,00-0036264,QB,0.0,0.0,0.0,0.0,11.8,3.0,255.4,139.0,baseline
v2_baseline,Baseline,138.0,2025_12_CAR_SF,Carolina Panthers,Trevor Etienne,00-0040644,RB,0.0,30.0,0.0,4.0,0.0,86.0,0.0,0.0,baseline
v2_baseline,Baseline,133.10999999999999,2025_12_SEA_TEN,Seattle Seahawks,Jaxon Smith-Njigba,00-0038543,WR,42.2,167.0,8.68,10.0,0.0,4.0,0.0,0.0,baseline
v2_baseline,Baseline,131.19000000000003,2025_12_CAR_SF,Carolina Panthers,Bryce Young,00-0039150,QB,0.0,0.0,0.0,0.0,16.3,0.0,275.8,169.0,baseline
v2_baseline,Baseline,125.9,2025_12_NYG_DET,New York Giants,Wan'Dale Robinson,00-0038117,WR,42.5,156.0,7.03,14.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,118.13,2025_12_PHI_DAL,Dallas Cowboys,George Pickens,00-0037247,WR,36.5,146.0,6.68,10.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,114.94000000000001,2025_12_IND_KC,Kansas City Chiefs,Kareem Hunt,00-0033923,RB,16.3,26.0,3.6,4.0,23.6,104.0,0.0,0.0,baseline
v2_baseline,Baseline,113.74999999999997,2025_12_PHI_DAL,Dallas Cowboys,Dak Prescott,00-0033077,QB,0.0,0.0,0.0,0.0,11.3,0.0,261.6,354.0,baseline
v2_baseline,Baseline,111.48,2025_12_NYG_DET,Detroit Lions,Amon-Ra St. Brown,00-0036963,WR,42.6,149.0,9.91,13.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,111.25999999999999,2025_12_MIN_GB,Minnesota Vikings,J.J. McCarthy,00-0039923,QB,0.0,0.0,0.0,0.0,3.4,0.0,184.6,87.0,baseline
v2_baseline,Baseline,106.1,2025_12_NE_CIN,New England Patriots,Drake Maye,00-0039851,QB,0.0,0.0,0.0,0.0,18.6,0.0,216.4,294.0,baseline
v2_baseline,Baseline,104.24000000000002,2025_12_IND_KC,Kansas City Chiefs,Patrick Mahomes,00-0033873,QB,0.0,0.0,0.0,0.0,15.6,0.0,282.9,352.0,baseline
v2_baseline,Baseline,98.50999999999999,2025_12_BUF_HOU,Buffalo Bills,James Cook III,nan,RB,39.5,21.0,5.4,4.0,64.8,0.0,0.0,0.0,baseline
