bin_low,bin_high,count,pred_mean,obs_rate
0.776,0.816,12,0.7944542286182007,0.5
0.816,0.822,13,0.8219886610632372,0.46153846153846156
0.822,0.842,8,0.8377725904602006,0.5
0.842,0.863,10,0.8494175434983227,0.6
0.863,0.871,12,0.8660220237129693,0.5
0.871,0.893,11,0.8864916450466168,0.36363636363636365
0.893,0.935,11,0.9164600119609013,0.5454545454545454
0.935,0.974,9,0.9576447554069519,0.6666666666666666
0.974,0.983,11,0.9813154927548112,0.36363636363636365
0.983,0.984,11,0.9833177520392599,0.7272727272727273
