week,n_games,acc_home_win,acc_spread_cover,acc_over_under,mae_margin,mae_total,home_pred_rate,acc_pred_home,acc_pred_away,acc_actual_home,acc_actual_away
1,16,0.4375,,,,,0.0,,0.4375,0.0,1.0
2,16,0.5625,,,,,0.0,,0.5625,0.0,1.0
3,16,0.25,,,,,0.0,,0.25,0.0,1.0
4,16,0.3125,,,,,0.0,,0.3125,0.0,1.0
5,14,0.7142857142857143,,,,,0.0,,0.7142857142857143,0.0,1.0
6,15,0.4,,,,,0.0,,0.4,0.0,1.0
7,15,0.4,,,,,0.0,,0.4,0.0,1.0
8,13,0.38461538461538464,,,,,0.0,,0.38461538461538464,0.0,1.0
9,14,0.7142857142857143,,,,,0.0,,0.7142857142857143,0.0,1.0
10,14,0.42857142857142855,,,,,0.0,,0.42857142857142855,0.0,1.0
11,15,0.4666666666666667,,,,,0.0,,0.4666666666666667,0.0,1.0
12,14,0.35714285714285715,,,,,0.0,,0.35714285714285715,0.0,1.0
13,16,0.5,0.0,0.0,13.5,12.5,0.0,,0.5,0.0,1.0
14,14,0.5714285714285714,,,,,0.0,,0.5714285714285714,0.0,1.0
15,16,0.375,,,,,0.0,,0.375,0.0,1.0
16,16,0.625,0.0,1.0,7.5,7.5,0.0,,0.625,0.0,1.0
17,16,0.625,,,,,0.0,,0.625,0.0,1.0
