player,team,market,line,over_price,under_price,book,event,game_time,home_team,away_team,is_ladder
Kenneth Walker,SEA,Anytime TD,,110.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Zach Charbonnet,SEA,Anytime TD,,175.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Trey Benson,ARI,Anytime TD,,,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Jaxon Smith-Njigba,SEA,Anytime TD,,160.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Trey McBride,ARI,Anytime TD,,160.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Marvin Harrison Jr.,ARI,Anytime TD,,185.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Cooper Kupp,SEA,Anytime TD,,275.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Kyler Murray,ARI,Anytime TD,,275.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Tory Horton,SEA,Anytime TD,,400.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Michael Wilson,ARI,Anytime TD,,400.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
Emari Demercado,ARI,Anytime TD,,350.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
AJ Barner,SEA,Anytime TD,,440.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
George Holani,SEA,Anytime TD,,2200.0,,Bovada,Seattle Seahawks @ Arizona Cardinals,1758845700000,Cardinals,Seahawks,False
