player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Jalen Hurts,PHI,Passing Yards,125.0,-1200.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,293.9,168.89999999999998,0.08333257769544229,,,168.89999999999998
Jalen Hurts,PHI,Passing Yards,150.0,-450.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,293.9,143.89999999999998,0.22219819220103576,,,143.89999999999998
Saquon Barkley,PHI,Rushing Yards,175.0,1400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rush_yards,35.4,-139.6,-1.0,,,139.6
Jaxson Dart,NYG,Passing Yards,125.0,-550.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,253.8,128.8,0.18168036175467275,,,128.8
Jalen Hurts,PHI,Passing Yards,175.0,-220.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,293.9,118.89999999999998,0.45405022975601644,,,118.89999999999998
Saquon Barkley,PHI,Rushing Yards,150.0,800.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rush_yards,35.4,-114.6,-0.999999999999999,,,114.6
Jaxson Dart,NYG,Passing Yards,150.0,-250.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,253.8,103.80000000000001,0.39788613377389426,,,103.80000000000001
Jaxson Dart,NYG,Rushing Yards,100.0,1500.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,3.1,-96.9,-0.9999999999642313,,,96.9
Jalen Hurts,PHI,Passing Yards,200.0,-105.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_yards,293.9,93.89999999999998,0.9452551363337252,,,93.89999999999998
AJ Brown,PHI,Receiving Yards,150.0,1300.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,60.1,-89.9,-0.9999991354856574,,,89.9
