season,week,date,game_id,team,player,position,player_id_x,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,_name_norm,_name_norm_loose,_alias_init_last,team_norm,player_id_y,pass_attempts_act,pass_yards_act,pass_tds_act,interceptions_act,rush_attempts_act,rush_yards_act,rush_tds_act,targets_act,receptions_act,rec_yards_act,rec_tds_act,player_act,team_act,match_strategy,pass_attempts_err,pass_yards_err,pass_tds_err,interceptions_err,rush_attempts_err,rush_yards_err,rush_tds_err,targets_err,receptions_err,rec_yards_err,rec_tds_err
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Josh Allen,QB,00-0034857,1.0,42.23,285.2,2.8,0.94,7.69,26.9,0.34,0.0,0.0,0.0,0.0,0.286,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,josh allen,joshallen,jallen,Buffalo Bills,00-0034857,22.0,163.0,1.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,J.Allen,BUF,team_norm & _alias_init_last,20.229999999999997,122.19999999999999,1.7999999999999998,0.94,3.6900000000000004,19.9,-1.66,0.0,0.0,0.0,0.0
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,James Cook III,RB,,1.0,0.0,0.0,0.0,0.0,11.3,59.0,0.55,4.89,2.94,29.2,0.35,0.5936,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,0.0,0.0,james cook iii,jamescookiii,jcook,Buffalo Bills,00-0037248,0.0,0.0,0.0,0.0,20.0,216.0,2.0,0.0,0.0,0.0,0.0,J.Cook,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-8.7,-157.0,-1.45,4.89,2.94,29.2,0.35
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Ty Johnson,RB,00-0035537,1.0,0.0,0.0,0.0,0.0,6.28,27.6,0.2,3.04,1.63,13.8,0.21,0.3398,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,ty johnson,tyjohnson,tjohnson,Buffalo Bills,00-0034376,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,Ty.Johnson,BUF,team_norm & _name_norm_loose,0.0,0.0,0.0,0.0,2.2800000000000002,21.6,0.2,3.04,1.63,13.8,0.21
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Ray Davis,RB,00-0039875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,ray davis,raydavis,rdavis,Buffalo Bills,00-0039875,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,0.0,0.0,0.0,R.Davis,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-9.0,-16.0,0.0,-1.0,0.0,0.0,0.0
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Dalton Kincaid,TE,00-0038933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,5.3,48.2,0.52,0.4067,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,dalton kincaid,daltonkincaid,dkincaid,Buffalo Bills,00-0038933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,23.0,0.0,D.Kincaid,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1899999999999995,4.3,25.200000000000003,0.52
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Dawson Knox,TE,00-0035689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,2.72,24.5,0.29,0.255,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,dawson knox,dawsonknox,dknox,Buffalo Bills,00-0035689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,D.Knox,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2300000000000004,1.7200000000000002,9.5,0.29
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Jackson Hawes,TE,00-0040194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,jackson hawes,jacksonhawes,jhawes,Buffalo Bills,00-0040194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0,J.Hawes,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-15.0,0.0
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Keon Coleman,WR,00-0039901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52,5.43,70.4,0.75,0.5253,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,keon coleman,keoncoleman,kcoleman,Buffalo Bills,00-0039901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,30.0,0.0,K.Coleman,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,2.4299999999999997,40.400000000000006,0.75
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Khalil Shakir,WR,00-0037261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,5.99,47.2,0.52,0.4077,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,1.0,1.0,khalil shakir,khalilshakir,kshakir,Buffalo Bills,00-0037261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,88.0,1.0,K.Shakir,BUF,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199999999999999,-0.009999999999999787,-40.8,-0.48
2025,8,0.0,2025_08_BUF_CAR,Buffalo Bills,Joshua Palmer,WR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,3.51,59.5,0.37,0.3126,72.0,44.14,25.26,335.0,124.9,3.1317817928799787,1.01445046208375,1.103540506177056,0.0,0.0,joshua palmer,joshuapalmer,jpalmer,Buffalo Bills,00-0036988,,,,,,,,,,,,,,,,,,,,,,,,,
