date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-09-07,Atlanta Falcons,73.3,11.8,0.0,retractable,artificial,
2025-09-07,Cleveland Browns,63.6,6.1,0.0,open,grass,
2025-09-07,Indianapolis Colts,66.0,7.4,0.0,retractable,artificial,
2025-09-07,Jacksonville Jaguars,82.5,8.8,32.0,open,grass,
2025-09-07,New England Patriots,57.3,3.1,100.0,open,artificial,
2025-09-07,New Orleans Saints,85.3,7.3,0.0,fixed,artificial,
2025-09-07,New York Jets,66.0,4.0,0.0,open,artificial,
2025-09-07,Washington Commanders,72.4,8.9,0.0,open,grass,
2025-09-07,Denver Broncos,77.8,11.3,0.0,open,grass,
2025-09-07,Seattle Seahawks,66.7,2.9,0.0,open,artificial,
2025-09-07,Green Bay Packers,60.0,5.2,0.0,open,grass,
2025-09-07,Los Angeles Rams,76.4,11.2,0.0,fixed,artificial,
2025-09-07,Buffalo Bills,63.4,13.2,0.0,open,grass,
