date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-09-14,Baltimore Ravens,76.0,5.5,0.0,none,Clear,open,grass,
2025-09-14,Cincinnati Bengals,83.6,5.7,0.0,none,Clear,open,artificial,
2025-09-14,Dallas Cowboys,91.2,5.1,0.0,none,Clear,retractable,artificial,
2025-09-14,Detroit Lions,76.7,2.9,0.0,none,Clear,fixed,artificial,
2025-09-14,Miami Dolphins,82.5,7.4,100.0,rain,Mostly Cloudy,open,grass,
2025-09-14,New Orleans Saints,86.6,4.7,0.0,none,Clear,fixed,artificial,
2025-09-14,New York Jets,74.2,4.1,0.0,none,Clear,open,artificial,
2025-09-14,Pittsburgh Steelers,78.5,2.8,0.0,none,Clear,open,grass,
2025-09-14,Tennessee Titans,85.5,4.4,20.0,rain,Mostly Clear,open,grass,
2025-09-14,Arizona Cardinals,99.0,6.6,0.0,none,Clear,retractable,grass,
2025-09-14,Indianapolis Colts,83.0,6.8,0.0,none,Mostly Clear,retractable,artificial,
2025-09-14,Kansas City Chiefs,86.2,7.4,0.0,none,Clear,open,grass,
2025-09-14,Minnesota Vikings,83.5,7.4,0.0,none,Partly Cloudy,fixed,artificial,
