date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-11-16,Miami Dolphins,81.1,4.3,0.0,none,Clear,open,grass,
2025-11-16,Atlanta Falcons,74.0,11.3,0.0,none,Partly Cloudy,retractable,artificial,
2025-11-16,Buffalo Bills,37.7,19.9,0.0,none,Overcast,open,grass,
2025-11-16,Jacksonville Jaguars,80.5,9.6,0.0,none,Clear,open,grass,
2025-11-16,Minnesota Vikings,45.5,8.7,0.0,none,Clear,fixed,artificial,
2025-11-16,New York Giants,48.3,16.8,0.0,none,Clear,open,artificial,
2025-11-16,Pittsburgh Steelers,43.9,14.1,20.0,rain,Partly Cloudy,open,grass,
2025-11-16,Tennessee Titans,61.5,9.0,0.0,none,Clear,open,grass,
2025-11-16,Arizona Cardinals,70.2,12.9,0.0,none,Mostly Cloudy,retractable,grass,
2025-11-16,Los Angeles Rams,63.4,8.6,0.0,none,Mostly Cloudy,fixed,artificial,
2025-11-16,Cleveland Browns,44.7,21.9,0.0,none,Overcast,open,grass,
2025-11-16,Denver Broncos,63.1,4.7,0.0,none,Clear,open,grass,
2025-11-16,Philadelphia Eagles,50.4,15.1,0.0,none,Clear,open,grass,
